rho	mt	ms	pve	alpha	power
50	50	0	0.9	1e-05	0.07
50	50	0	1	0.05	0.89
50	50	0	1	0.001	0.425
50	50	0	1	1e-05	0.11
75	50	0	0.1	0.05	0.18
75	50	0	0.1	0.001	0.015
75	50	0	0.1	1e-05	0
75	50	0	0.2	0.05	0.355
75	50	0	0.2	0.001	0.035
75	50	0	0.2	1e-05	0
75	50	0	0.3	0.05	0.51
75	50	0	0.3	0.001	0.065
75	50	0	0.3	1e-05	0.015
75	50	0	0.4	0.05	0.615
75	50	0	0.4	0.001	0.115
75	50	0	0.4	1e-05	0.005
75	50	0	0.5	0.05	0.695
75	50	0	0.5	0.001	0.265
75	50	0	0.5	1e-05	0.06
75	50	0	0.6	0.05	0.76
75	50	0	0.6	0.001	0.305
75	50	0	0.6	1e-05	0.065
75	50	0	0.7	0.05	0.82
75	50	0	0.7	0.001	0.38
75	50	0	0.7	1e-05	0.075
75	50	0	0.8	0.05	0.88
75	50	0	0.8	0.001	0.395
75	50	0	0.8	1e-05	0.09
75	50	0	0.9	0.05	0.855
75	50	0	0.9	0.001	0.475
75	50	0	0.9	1e-05	0.16
75	50	0	1	0.05	0.96
75	50	0	1	0.001	0.63
75	50	0	1	1e-05	0.19
0	50	25	0.1	0.05	0.31
0	50	25	0.1	0.001	0.035
0	50	25	0.1	1e-05	0
0	50	25	0.2	0.05	0.385
0	50	25	0.2	0.001	0.08
0	50	25	0.2	1e-05	0.005
0	50	25	0.3	0.05	0.62
0	50	25	0.3	0.001	0.19
0	50	25	0.3	1e-05	0.015
0	50	25	0.4	0.05	0.775
0	50	25	0.4	0.001	0.315
0	50	25	0.4	1e-05	0.055
0	50	25	0.5	0.05	0.835
0	50	25	0.5	0.001	0.35
0	50	25	0.5	1e-05	0.08
0	50	25	0.6	0.05	0.915
0	50	25	0.6	0.001	0.505
0	50	25	0.6	1e-05	0.13
0	50	25	0.7	0.05	0.935
0	50	25	0.7	0.001	0.565
0	50	25	0.7	1e-05	0.19
0	50	25	0.8	0.05	0.95
0	50	25	0.8	0.001	0.73
0	50	25	0.8	1e-05	0.33
0	50	25	0.9	0.05	0.975
0	50	25	0.9	0.001	0.78
0	50	25	0.9	1e-05	0.395
0	50	25	1	0.05	0.99
0	50	25	1	0.001	0.85
0	50	25	1	1e-05	0.45
25	50	25	0.1	0.05	0.265
25	50	25	0.1	0.001	0.02
25	50	25	0.1	1e-05	0
25	50	25	0.2	0.05	0.425
25	50	25	0.2	0.001	0.09
25	50	25	0.2	1e-05	0
25	50	25	0.3	0.05	0.69
25	50	25	0.3	0.001	0.205
25	50	25	0.3	1e-05	0.035
25	50	25	0.4	0.05	0.745
25	50	25	0.4	0.001	0.34
25	50	25	0.4	1e-05	0.06
25	50	25	0.5	0.05	0.87
25	50	25	0.5	0.001	0.4
25	50	25	0.5	1e-05	0.09
25	50	25	0.6	0.05	0.875
25	50	25	0.6	0.001	0.55
